date,eth_price,eth_amount,lido_amount
2021-04-05 00:00,2071.45,10208,1024
2021-04-06 00:00,2135.29,12096,1408
2021-04-07 00:00,2149.87,33952,608
2021-04-08 00:00,1967.81,6720,0
2021-04-09 00:00,2080.64,4416,288
2021-04-10 00:00,2068.88,11936,8192
2021-04-11 00:00,2136.64,12512,3328
2021-04-12 00:00,2154.07,19648,16128
2021-04-13 00:00,2141.86,8032,0
2021-04-14 00:00,2304.68,6688,0
2021-04-15 00:00,2432.28,25792,5056
2021-04-16 00:00,2522.44,9536,0
2021-04-17 00:00,2475.18,9248,0
2021-04-18 00:00,2368.97,3648,0
2021-04-19 00:00,2252.43,8512,4800
2021-04-20 00:00,2202.92,16192,4800
2021-04-21 00:00,2329.45,19552,9600
2021-04-22 00:00,2363.97,16032,4160
2021-04-23 00:00,2407.83,14016,0
2021-04-24 00:00,2368.25,12992,0
2021-04-25 00:00,2222.55,10752,736
2021-04-26 00:00,2320.71,22208,256
2021-04-27 00:00,2536.83,28896,256
2021-04-28 00:00,2665.29,17984,3040
2021-04-29 00:00,2753.06,27424,512
2021-04-30 00:00,2761.67,8096,672
2021-05-01 00:00,2777.49,31200,768
2021-05-02 00:00,2949.32,6368,512
2021-05-03 00:00,2954.72,28896,800
2021-05-04 00:00,3431.86,50176,512
2021-05-05 00:00,3258.79,79520,12800
2021-05-06 00:00,3534.08,28320,2272
2021-05-07 00:00,3496.3,86944,33984
2021-05-08 00:00,3490.13,28896,23616
2021-05-09 00:00,3909.46,5344,1024
2021-05-10 00:00,3940.78,10592,1536
2021-05-11 00:00,3959.33,21984,512
2021-05-12 00:00,4183.54,42208,256
2021-05-13 00:00,3860.17,61536,0
2021-05-14 00:00,3729.06,28448,0
2021-05-15 00:00,4086.7,15168,7040
2021-05-16 00:00,3659.22,9664,2560
2021-05-17 00:00,3591.52,37312,1536
2021-05-18 00:00,3282.08,27232,0
2021-05-19 00:00,3384.94,34976,3200
2021-05-20 00:00,2467.66,17984,0
2021-05-21 00:00,2777.47,26880,0
2021-05-22 00:00,2432,51584,29760
2021-05-23 00:00,2299.24,32224,28800
2021-05-24 00:00,2112.28,31456,2592
2021-05-25 00:00,2644.53,71584,8992
2021-05-26 00:00,2704.05,125216,0
2021-05-27 00:00,2887.79,93824,19776
2021-05-28 00:00,2739.83,4288,288
2021-05-29 00:00,2420.9,27040,864
2021-05-30 00:00,2279.33,8256,704
2021-05-31 00:00,2389.05,8544,6656
2021-06-01 00:00,2708.86,8352,0
2021-06-02 00:00,2627.49,14304,0
2021-06-03 00:00,2713.89,67200,5760
2021-06-04 00:00,2855.97,19648,1440
2021-06-05 00:00,2691.75,15456,0
2021-06-06 00:00,2632.48,3168,0
2021-06-07 00:00,2713.92,9024,4224
2021-06-08 00:00,2593.86,19200,1312
2021-06-09 00:00,2501.86,56512,1056
2021-06-10 00:00,2611.46,27424,0
2021-06-11 00:00,2473.79,20000,4800
2021-06-12 00:00,2352.76,33952,4800
2021-06-13 00:00,2375.21,23168,21120
2021-06-14 00:00,2511.86,6592,2784
2021-06-15 00:00,2579.12,24992,2016
2021-06-16 00:00,2549.84,65280,4800
2021-06-17 00:00,2367.64,29824,15392
2021-06-18 00:00,2373.81,21696,2208
2021-06-19 00:00,2229.24,20416,7136
2021-06-20 00:00,2176.59,22592,0
2021-06-21 00:00,2246.61,5728,3360
2021-06-22 00:00,1895.14,21728,256
2021-06-23 00:00,1879.89,134112,0
2021-06-24 00:00,1971.41,16704,0
2021-06-25 00:00,1991.85,19008,3424
2021-06-26 00:00,1818.21,14624,512
2021-06-27 00:00,1829.67,1888,0
2021-06-28 00:00,1979.73,4096,0
2021-06-29 00:00,2084.11,44096,11808
2021-06-30 00:00,2164.02,25088,4608
2021-07-01 00:00,2276.7,35744,26208
2021-07-02 00:00,2112.82,34944,0
2021-07-03 00:00,2157.13,7264,0
2021-07-04 00:00,2227.33,5824,0
2021-07-05 00:00,2324.95,24384,19968
2021-07-06 00:00,2202.07,93216,2336
2021-07-07 00:00,2325.24,12160,288
2021-07-08 00:00,2315.79,19040,0
2021-07-09 00:00,2121.56,15136,0
2021-07-10 00:00,2150.46,5536,0
2021-07-11 00:00,2112.51,2080,0
2021-07-12 00:00,2141.16,5440,0
2021-07-13 00:00,2038.38,12000,0
2021-07-14 00:00,1942.66,9696,0
2021-07-15 00:00,1997.6,11072,0
2021-07-16 00:00,1917.66,36032,28832
2021-07-17 00:00,1882.97,13504,8288
2021-07-18 00:00,1901.28,1760,256
2021-07-19 00:00,1897.62,2176,0
2021-07-20 00:00,1822.47,9440,0
2021-07-21 00:00,1789.8,12800,0
2021-07-22 00:00,1996.17,7968,0
2021-07-23 00:00,2026.57,26080,20032
2021-07-24 00:00,2125.78,7136,928
2021-07-25 00:00,2187.94,1536,448
2021-07-26 00:00,2193.18,1088,0
2021-07-27 00:00,2233.11,11392,0
2021-07-28 00:00,2299.32,14880,8416
2021-07-29 00:00,2298.43,7264,1888
2021-07-30 00:00,2382.64,13568,8640
2021-07-31 00:00,2466.23,6336,384
2021-08-01 00:00,2537.02,10176,8800
2021-08-02 00:00,2563.92,2624,0
2021-08-03 00:00,2611.52,21792,9600
2021-08-04 00:00,2507.01,29248,23584
2021-08-05 00:00,2726.64,22176,7168
2021-08-06 00:00,2829.71,9696,2528
2021-08-07 00:00,2891.43,11936,5440
2021-08-08 00:00,3155.48,7808,2368
2021-08-09 00:00,3015.59,16896,2720
2021-08-10 00:00,3160.94,25632,2368
2021-08-11 00:00,3140.84,26784,0
2021-08-12 00:00,3166.29,13440,1120
2021-08-13 00:00,3045.76,16960,7840
2021-08-14 00:00,3322.17,28960,4800
2021-08-15 00:00,3266.98,11392,4800
2021-08-16 00:00,3310.57,14208,10560
2021-08-17 00:00,3155.55,95360,51744
2021-08-18 00:00,3014.08,97664,15680
2021-08-19 00:00,3024.17,66240,32416
2021-08-20 00:00,3179.62,24064,9600
2021-08-21 00:00,3284.43,40096,31904
2021-08-22 00:00,3229.98,28192,21632
2021-08-23 00:00,3245.64,28832,22592
2021-08-24 00:00,3318.68,19584,0
2021-08-25 00:00,3177.23,5664,0
2021-08-26 00:00,3230.91,7200,0
2021-08-27 00:00,3102.33,7872,0
2021-08-28 00:00,3273.62,38112,32000
